patient_id,patient
PAT142507,PAT1401119
PAT142508,PAT1401120
PAT142509,PAT1401121
PAT142510,PAT1401122
PAT142511,PAT1401123
PAT142512,PAT1401124
PAT142513,PAT1401125
PAT142514,PAT1401126
PAT142515,PAT1401127
PAT142516,PAT1401128
PAT142517,PAT1401129
PAT142518,PAT1401130
PAT142519,PAT1401131
PAT142520,PAT1401132
PAT142521,PAT1401133
PAT142522,PAT1401134
PAT142523,PAT1401135
PAT142524,PAT1401136
PAT142525,PAT1401137
PAT142526,PAT1401138
PAT142527,PAT1401139
PAT142528,PAT1401140
PAT142529,PAT1401141
PAT142530,PAT1401142
PAT142531,PAT1401143
PAT142532,PAT1401144
PAT142533,PAT1401145
PAT142534,PAT1401146
PAT142535,PAT1401147
PAT142536,PAT1401148
PAT142537,PAT1401149
PAT142538,PAT1401150
PAT142539,PAT1401151
PAT142540,PAT1401152
PAT142541,PAT1401153
PAT142542,PAT1401154
PAT142543,PAT1401155
PAT142544,PAT1401156
PAT142545,PAT1401157
PAT142546,PAT1401158
PAT142547,PAT1401159
PAT142548,PAT1401160
PAT142549,PAT1401161
PAT142550,PAT1401162
PAT142551,PAT1401163
PAT142552,PAT1401164
PAT142553,PAT1401165
PAT142554,PAT1401166
PAT142555,PAT1401167
PAT142556,PAT1401168
PAT142557,PAT1401169
PAT142558,PAT1401170
PAT142559,PAT1401171
PAT142560,PAT1401172
PAT142561,PAT1401173
PAT142562,PAT1401174
PAT142563,PAT1401175
PAT142564,PAT1401176
PAT142565,PAT1401177
PAT142566,PAT1401178
PAT142567,PAT1401179
PAT142568,PAT1401180
PAT142569,PAT1401181
PAT142570,PAT1401182
PAT142571,PAT1401183
PAT142572,PAT1401184
PAT142573,PAT1401185
PAT142574,PAT1401186
PAT142575,PAT1401187
PAT142576,PAT1401188
PAT142577,PAT1401189
PAT142578,PAT1401190
PAT142579,PAT1401191
PAT142580,PAT1401192
PAT142581,PAT1401193
PAT142582,PAT1401194
PAT142583,PAT1401195
PAT142584,PAT1401196
PAT142585,PAT1401197
PAT142586,PAT1401198
PAT142587,PAT1401199
PAT142588,PAT1401200
PAT142589,PAT1401201
PAT142590,PAT1401202
PAT142591,PAT1401203
PAT142592,PAT1401204
PAT142593,PAT1401205
PAT142594,PAT1401206
PAT142595,PAT1401207
PAT142596,PAT1401208
PAT142597,PAT1401209
PAT142598,PAT1401210
PAT142599,PAT1401211
PAT142600,PAT1401212
PAT142601,PAT1401213
PAT142602,PAT1401214
PAT142603,PAT1401215
PAT142604,PAT1401216
PAT142605,PAT1401217
PAT142606,PAT1401218
PAT142607,PAT1401219
PAT142608,PAT1401220
PAT142609,PAT1401221
PAT142610,PAT1401222
PAT142611,PAT1401223
PAT142612,PAT1401224
PAT142613,PAT1401225
PAT142614,PAT1401226
PAT142615,PAT1401227
PAT142616,PAT1401228
PAT142617,PAT1401229
PAT142618,PAT1401230
PAT142619,PAT1401231
PAT142620,PAT1401232
PAT142621,PAT1401233
PAT142622,PAT1401234
PAT142623,PAT1401235
PAT142624,PAT1401236
PAT142625,PAT1401237
PAT142626,PAT1401238
PAT142627,PAT1401239
PAT142628,PAT1401240
PAT142629,PAT1401241
PAT142630,PAT1401242
PAT142631,PAT1401243
PAT142632,PAT1401244
PAT142633,PAT1401245
PAT142634,PAT1401246
PAT142635,PAT1401247
PAT142636,PAT1401248
PAT142637,PAT1401249
PAT142638,PAT1401250
PAT142639,PAT1401251
PAT142640,PAT1401252
PAT142641,PAT1401253
PAT142642,PAT1401254
PAT142643,PAT1401255
PAT142644,PAT1401256
PAT142645,PAT1401257
PAT142646,PAT1401258
PAT142647,PAT1401259
PAT142648,PAT1401260
PAT142649,PAT1401261
PAT142650,PAT1401262
PAT142651,PAT1401263
PAT142652,PAT1401264
PAT142653,PAT1401265
PAT142654,PAT1401266
PAT142655,PAT1401267
PAT142656,PAT1401268
PAT142657,PAT1401269
PAT142658,PAT1401270
PAT142659,PAT1401271
PAT142660,PAT1401272
PAT142661,PAT1401273
PAT142662,PAT1401274
PAT142663,PAT1401275
PAT142664,PAT1401276
PAT142665,PAT1401277
PAT142666,PAT1401278
