patient_id,patient
PAT141000,pat201411483913
PAT141001,pat201405034707
PAT141002,pat201405141374
PAT141003,pat201411053599
PAT141004,pat20141157194
PAT141005,pat20141207174
PAT141006,pat201412083472
PAT141007,pat201412241420
PAT141008,pat20141239880
PAT141009,PAT201408002260
PAT141010,PAT201412402916
PAT141011,PAT201412453969
PAT141012,PAT201412464695
PAT141013,PAT201412484951
PAT141014,PAT201411571512
PAT141015,PAT201412054178
PAT141016,PAT201412152712
PAT141017,PAT201412222918
PAT141018,PAT201412304581
PAT141019,PAT20141250404
PAT141020,PAT201412544413
PAT141021,PAT201412591572
PAT141022,PAT201412592134
PAT141023,PAT201401053903
PAT141024,PAT201401061395
PAT141025,PAT20140111401
PAT141026,PAT201401173241
PAT141027,PAT201411263141
PAT141028,PAT201411261705
PAT141029,PAT20141135448
PAT141030,PAT201411402467
PAT141031,PAT201412052352
PAT141032,PAT201412081655
PAT141033,PAT20141212618
PAT141034,PAT201412294291
PAT141035,PAT20141232448
PAT141036,PAT201412491658
PAT141037,PAT201401192154
PAT141038,PAT201401313353
PAT141039,PAT20140152540
PAT141040,PAT201403022452
PAT141041,PAT201403241315
PAT141042,PAT201403412378
PAT141043,PAT201404081680
PAT141044,PAT201404293033
PAT141045,PAT201409572080
PAT141046,PAT201410044651
PAT141047,PAT201410112580
PAT141048,PAT201410191699
PAT141049,PAT201410262908
PAT141050,PAT201410411201
PAT141051,PAT201410432002
PAT141052,PAT20141107470
PAT141053,PAT14053
PAT141054,PAT14054
PAT141055,PAT14055
PAT141056,PAT14056
PAT141057,PAT14057
PAT141058,PAT14058
PAT141059,PAT14059
PAT141060,PAT14060
PAT141061,PAT14061
PAT141062,PAT14062
PAT141063,PAT14063
PAT141064,PAT14064
PAT141065,PAT14065
PAT141066,PAT14066
PAT141067,PAT14067
PAT141068,PAT14068
PAT141069,PAT14069
PAT141070,PAT14070
PAT141071,PAT14071
PAT141072,PAT14072
PAT141073,PAT14073
PAT141074,PAT14074
PAT141075,PAT14075
PAT141076,PAT14076
PAT141077,PAT14077
PAT141078,PAT14078
PAT141079,PAT14079
PAT141080,PAT14080
PAT141081,PAT14081
PAT141082,PAT14082
PAT141083,PAT14083
PAT141084,PAT14084
PAT141085,PAT14085
PAT141086,PAT14086
PAT141087,PAT14087
PAT141088,PAT14088
PAT141089,PAT14089
PAT141090,PAT14090
PAT141091,PAT14091
PAT141092,PAT14092
PAT141093,PAT14093
PAT141094,PAT14094
PAT141095,PAT14095
PAT141096,PAT14096
PAT141097,PAT14097
PAT141098,PAT14098
PAT141099,PAT14099
PAT141100,PAT140100
PAT141101,PAT140101
PAT141102,PAT140102
PAT141103,PAT140103
PAT141104,PAT140104
PAT141105,PAT140105
PAT141106,PAT140106
PAT141107,PAT140107
PAT141108,PAT140108
PAT141109,PAT140109
PAT141110,PAT140110
PAT141111,PAT140111
PAT141112,PAT140112
PAT141113,PAT140113
PAT141114,PAT140114
PAT141115,PAT140115
PAT141116,PAT140116
PAT141117,PAT140117
PAT141118,PAT140118
PAT141119,PAT140119
PAT141120,PAT140120
PAT141121,PAT140121
PAT141122,PAT140122
PAT141123,PAT140123
PAT141124,PAT140124
PAT141125,PAT140125
PAT141126,PAT140126
PAT141127,PAT140127
PAT141128,PAT140128
PAT141129,PAT140129
PAT141130,PAT140130
PAT141131,PAT140131
PAT141132,PAT140132
PAT141133,PAT140133
PAT141134,PAT140134
PAT141135,PAT140135
PAT141136,PAT140136
PAT141137,PAT140137
PAT141138,PAT140138
PAT141139,PAT140139
PAT141140,PAT140140
PAT141141,PAT140141
PAT141142,PAT140142
PAT141143,PAT140143
PAT141144,PAT140144
PAT141145,PAT140145
PAT141146,PAT140146
PAT141147,PAT140147
PAT141148,PAT140148
PAT141149,PAT140149
PAT141150,PAT140150
PAT141151,PAT140151
PAT141152,PAT140152
PAT141153,PAT140153
PAT141154,PAT140154
PAT141155,PAT140155
PAT141156,PAT140156
PAT141157,PAT140157
PAT141158,PAT140158
PAT141159,PAT140159
PAT141160,PAT140160
PAT141161,PAT140161
PAT141162,PAT140162
PAT141163,PAT140163
PAT141164,PAT140164
PAT141165,PAT140165
PAT141166,PAT140166
PAT141167,PAT140167
PAT141168,PAT140168
PAT141169,PAT140169
PAT141170,PAT140170
PAT141171,PAT140171
PAT141172,PAT140172
PAT141173,PAT140173
PAT141174,PAT140174
PAT141175,PAT140175
PAT141176,PAT140176
PAT141177,PAT140177
PAT141178,PAT140178
PAT141179,PAT140179
PAT141180,PAT140180
PAT141181,PAT140181
PAT141182,PAT140182
PAT141183,PAT140183
PAT141184,PAT140184
PAT141185,PAT140185
PAT141186,PAT140186
PAT141187,PAT140187
PAT141188,PAT140188
PAT141189,PAT140189
PAT141190,PAT140190
PAT141191,PAT140191
PAT141192,PAT140192
PAT141193,PAT140193
PAT141194,PAT140194
PAT141195,PAT140195
PAT141196,PAT140196
PAT141197,PAT140197
PAT141198,PAT140198
PAT141199,PAT140199
PAT141200,PAT140200
PAT141201,PAT140201
PAT141202,PAT140202
PAT141203,PAT140203
PAT141204,PAT140204
PAT141205,PAT140205
PAT141206,PAT140206
PAT141207,PAT140207
PAT141208,PAT140208
PAT141209,PAT140209
PAT141210,PAT140210
PAT141211,PAT140211
PAT141212,PAT140212
PAT141213,PAT140213
PAT141214,PAT140214
PAT141215,PAT140215
PAT141216,PAT140216
PAT141217,PAT140217
PAT141218,PAT140218
PAT141219,PAT140219
PAT141220,PAT140220
PAT141221,PAT140221
PAT141222,PAT140222
PAT141223,PAT140223
PAT141224,PAT140224
PAT141225,PAT140225
PAT141226,PAT140226
PAT141227,PAT140227
PAT141228,PAT140228
PAT141229,PAT140229
PAT141230,PAT140230
PAT141231,PAT140231
PAT141232,PAT140232
PAT141233,PAT140233
PAT141234,PAT140234
PAT141235,PAT140235
PAT141236,PAT140236
PAT141237,PAT140237
PAT141238,PAT140238
PAT141239,PAT140239
PAT141240,PAT140240
PAT141241,PAT140241
PAT141242,PAT140242
PAT141243,PAT140243
PAT141244,PAT140244
PAT141245,PAT140245
PAT141246,PAT140246
PAT141247,PAT140247
PAT141248,PAT140248
PAT141249,PAT140249
PAT141250,PAT140250
PAT141251,PAT140251
PAT141252,PAT140252
PAT141253,PAT140253
PAT141254,PAT140254
PAT141255,PAT140255
PAT141256,PAT140256
PAT141257,PAT140257
PAT141258,PAT140258
PAT141259,PAT140259
PAT141260,PAT140260
PAT141261,PAT140261
PAT141262,PAT140262
PAT141263,PAT140263
PAT141264,PAT140264
PAT141265,PAT140265
PAT141266,PAT140266
PAT141267,PAT140267
PAT141268,PAT140268
PAT141269,PAT140269
PAT141270,PAT140270
PAT141271,PAT140271
PAT141272,PAT140272
PAT141273,PAT140273
PAT141274,PAT140274
PAT141275,PAT140275
PAT141276,PAT140276
PAT141277,PAT140277
PAT141278,PAT140278
PAT141279,PAT140279
PAT141280,PAT140280
PAT141281,PAT140281
PAT141282,PAT140282
PAT141283,PAT140283
PAT141284,PAT140284
PAT141285,PAT140285
PAT141286,PAT140286
PAT141287,PAT140287
PAT141288,PAT140288
PAT141289,PAT140289
PAT141290,PAT140290
PAT141291,PAT140291
PAT141292,PAT140292
PAT141293,PAT140293
PAT141294,PAT140294
PAT141295,PAT140295
PAT141296,PAT140296
PAT141297,PAT140297
PAT141298,PAT140298
PAT141299,PAT140299
PAT141300,PAT140300
PAT141301,PAT140301
PAT141302,PAT140302
PAT141303,PAT140303
PAT141304,PAT140304
PAT141305,PAT140305
PAT141306,PAT140306
PAT141307,PAT140307
PAT141308,PAT140308
PAT141309,PAT140309
PAT141310,PAT140310
PAT141311,PAT140311
PAT141312,PAT140312
PAT141313,PAT140313
PAT141314,PAT140314
PAT141315,PAT140315
PAT141316,PAT140316
PAT141317,PAT140317
PAT141318,PAT140318
PAT141319,PAT140319
PAT141320,PAT140320
PAT141321,PAT140321
PAT141322,PAT140322
PAT141323,PAT140323
PAT141324,PAT140324
PAT141325,PAT140325
PAT141326,PAT140326
PAT141327,PAT140327
PAT141328,PAT140328
PAT141329,PAT140329
PAT141330,PAT140330
PAT141331,PAT140331
PAT141332,PAT140332
PAT141333,PAT140333
PAT141334,PAT140334
PAT141335,PAT140335
PAT141336,PAT140336
PAT141337,PAT140337
PAT141338,PAT140338
